concurso;data;j1;j2;j3;j4;j5;j6;j7;j8;j9;j10;j11;j12;j13;j14;ganhadores_14;rateio_14;ganhadores_13;rateio_13;acumulado
154;2005-03-14;;;;;;;;;;;;;;;2;23843936.0;73;80019.0;não
155;2005-03-21;;;;;;;;;;;;;;;2;22123657.0;83;55827.0;não
156;2005-03-28;;;;;;;;;;;;;;;8;2256635.0;301;12804.0;não
157;2005-04-04;;;;;;;;;;;;;;;0;0.0;12;281714.0;sim
158;2005-04-11;;;;;;;;;;;;;;;5;6762784.0;140;27505.0;não
159;2005-04-18;;;;;;;;;;;;;;;0;0.0;2;1561432.0;sim
160;2005-04-25;;;;;;;;;;;;;;;0;0.0;2;2520411.0;sim
161;2005-05-02;;;;;;;;;;;;;;;0;0.0;6;1018142.0;sim
162;2005-05-09;;;;;;;;;;;;;;;12;10405797.0;286;29391.0;não
163;2005-05-16;;;;;;;;;;;;;;;3;7167163.0;53;86933.0;não
164;2005-05-23;;;;;;;;;;;;;;;29;758264.0;819;5733.0;não
165;2005-05-30;;;;;;;;;;;;;;;0;0.0;2;244127.0;sim
166;2005-06-06;;;;;;;;;;;;;;;0;0.0;5;982075.0;sim
167;2005-06-13;;;;;;;;;;;;;;;0;0.0;10;787581.0;sim
168;2005-06-20;;;;;;;;;;;;;;;4;38809728.0;173;54143.0;não
169;2005-06-27;;;;;;;;;;;;;;;0;0.0;1;5025006.0;sim
170;2005-07-04;;;;;;;;;;;;;;;0;0.0;17;41507.0;sim
171;2005-07-11;;;;;;;;;;;;;;;0;0.0;21;343793.0;sim
172;2005-07-18;;;;;;;;;;;;;;;0;0.0;5;1894682.0;sim
173;2005-07-25;;;;;;;;;;;;;;;2;109339583.0;104;107768.0;não
174;2005-08-01;;;;;;;;;;;;;;;0;0.0;4;1353707.0;sim
175;2005-08-08;;;;;;;;;;;;;;;0;0.0;9;892372.0;sim
176;2005-08-15;;;;;;;;;;;;;;;2;73082269.0;117;78536.0;não
177;2005-08-22;;;;;;;;;;;;;;;23;1212498.0;439;13562.0;não
178;2005-08-29;;;;;;;;;;;;;;;2;13474234.0;20;288734.0;não
179;2005-09-05;;;;;;;;;;;;;;;12;1350606.0;750;4614.0;não
180;2005-09-12;;;;;;;;;;;;;;;1;63725067.0;65;10301.0;não
181;2005-09-19;;;;;;;;;;;;;;;41;579983.0;1282;396.0;não
182;2005-09-26;;;;;;;;;;;;;;;31;774695.0;628;8164.0;não
183;2005-10-03;;;;;;;;;;;;;;;0;0.0;46;114218.0;sim
184;2005-10-10;;;;;;;;;;;;;;;6;7797958.0;260;18285.0;não
185;2005-10-17;;;;;;;;;;;;;;;0;0.0;15;35567.0;sim
186;2005-10-24;;;;;;;;;;;;;;;0;0.0;17;392543.0;sim
187;2005-10-31;;;;;;;;;;;;;;;2;60176263.0;145;54989.0;não
188;2005-11-07;;;;;;;;;;;;;;;25;942073.0;646;7783.0;não
189;2005-11-14;;;;;;;;;;;;;;;3;7842622.0;90;55807.0;não
190;2005-11-21;;;;;;;;;;;;;;;3;19433711.0;89;67641.0;não
191;2005-11-28;;;;;;;;;;;;;;;3;8259398.0;79;66955.0;não
192;2005-12-05;;;;;;;;;;;;;;;24;985721.0;943;5356.0;não
193;2005-12-12;;;;;;;;;;;;;;;0;0.0;16;156476.0;sim
194;2005-12-19;;;;;;;;;;;;;;;0;0.0;6;652942.0;sim
195;2006-01-09;;;;;;;;;;;;;;;5;15121753.0;93;52334.0;não
196;2006-01-16;;;;;;;;;;;;;;;7;2775578.0;203;20432.0;não
197;2006-01-23;;;;;;;;;;;;;;;1;17507364.0;56;66739.0;não
198;2006-01-30;;;;;;;;;;;;;;;2;10367484.0;18;246845.0;não
199;2006-02-06;;;;;;;;;;;;;;;3;6238026.0;68;58749.0;não
200;2006-02-13;;;;;;;;;;;;;;;0;0.0;40;15337.0;sim
201;2006-02-20;;;;;;;;;;;;;;;1;88687249.0;16;51970.0;não
202;2006-03-01;;;;;;;;;;;;;;;1;2553138.0;25;218841.0;não
203;2006-03-06;;;;;;;;;;;;;;;0;0.0;1;418119.0;sim
204;2006-03-13;;;;;;;;;;;;;;;3;15198438.0;52;107485.0;não
205;2006-03-20;;;;;;;;;;;;;;;13;4494969.0;344;17837.0;não
206;2006-03-27;;;;;;;;;;;;;;;5;4302083.0;158;29064.0;não
207;2006-04-03;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
208;2006-04-10;;;;;;;;;;;;;;;1;44205277.0;30;17989.0;não
209;2006-04-17;;;;;;;;;;;;;;;0;0.0;3;1158871.0;sim
210;2006-04-24;;;;;;;;;;;;;;;9;7746847.0;188;34631.0;não
211;2006-05-02;;;;;;;;;;;;;;;0;0.0;20;227461.0;sim
212;2006-05-08;;;;;;;;;;;;;;;8;6008153.0;329;17413.0;não
213;2006-05-15;;;;;;;;;;;;;;;0;0.0;56;84123.0;sim
214;2006-05-22;;;;;;;;;;;;;;;1;5123644.0;55;11397.0;não
215;2006-05-29;;;;;;;;;;;;;;;0;0.0;2;2725116.0;sim
216;2006-06-05;;;;;;;;;;;;;;;0;0.0;29;284531.0;sim
217;2006-06-14;;;;;;;;;;;;;;;204;817917.0;5394;2973.0;não
218;2006-06-22;;;;;;;;;;;;;;;12;3597734.0;342;26949.0;não
219;2006-06-27;;;;;;;;;;;;;;;10;1257991.0;319;8419.0;não
220;2006-07-03;;;;;;;;;;;;;;;0;0.0;29;114051.0;sim
221;2006-07-13;;;;;;;;;;;;;;;6;1379581.0;146;3743.0;não
222;2006-07-17;;;;;;;;;;;;;;;1;14839316.0;7;454265.0;não
223;2006-07-24;;;;;;;;;;;;;;;1;19916467.0;18;237101.0;não
224;2006-07-31;;;;;;;;;;;;;;;0;0.0;2;2018166.0;sim
225;2006-08-07;;;;;;;;;;;;;;;6;11128564.0;172;34328.0;não
226;2006-08-14;;;;;;;;;;;;;;;0;0.0;4;1046503.0;sim
227;2006-08-21;;;;;;;;;;;;;;;0;0.0;15;362959.0;sim
228;2006-08-28;;;;;;;;;;;;;;;0;0.0;3;2331726.0;sim
229;2006-09-04;;;;;;;;;;;;;;;0;0.0;34;23255.0;sim
230;2006-09-11;;;;;;;;;;;;;;;3;64358728.0;86;119934.0;não
231;2006-09-18;;;;;;;;;;;;;;;31;720642.0;828;5761.0;não
232;2006-09-25;;;;;;;;;;;;;;;0;0.0;6;762686.0;sim
233;2006-10-05;;;;;;;;;;;;;;;71;652732.0;1636;3261.0;não
234;2006-10-09;;;;;;;;;;;;;;;795;20879.0;9843;362.0;não
235;2006-10-16;;;;;;;;;;;;;;;5;10449244.0;171;29517.0;não
236;2006-10-23;;;;;;;;;;;;;;;26;818699.0;702;6474.0;não
237;2006-10-30;;;;;;;;;;;;;;;1;20269605.0;15;289566.0;não
238;2006-11-06;;;;;;;;;;;;;;;1;19041848.0;61;66638.0;não
239;2006-11-13;;;;;;;;;;;;;;;2;9542643.0;55;74077.0;não
240;2006-11-20;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
241;2006-11-27;;;;;;;;;;;;;;;2;41282354.0;145;45547.0;não
242;2006-12-04;;;;;;;;;;;;;;;1;15238548.0;24;136059.0;não
243;2006-12-11;;;;;;;;;;;;;;;0;0.0;9;286491.0;sim
244;2006-12-18;;;;;;;;;;;;;;;2;13814724.0;27;123784.0;não
245;2006-12-26;;;;;;;;;;;;;;;9;3836306.0;202;14275.0;não
246;2007-01-08;;;;;;;;;;;;;;;5;2146908.0;220;10417.0;não
247;2007-01-15;;;;;;;;;;;;;;;0;0.0;1;2616159.0;sim
248;2007-01-22;;;;;;;;;;;;;;;1;32145101.0;40;106802.0;não
249;2007-01-29;;;;;;;;;;;;;;;1;17987414.0;45;85655.0;não
250;2007-02-05;;;;;;;;;;;;;;;7;5608453.0;132;37717.0;não
251;2007-02-12;;;;;;;;;;;;;;;0;0.0;11;340583.0;sim
252;2007-02-21;;;;;;;;;;;;;;;0;0.0;2;2702117.0;sim
253;2007-02-26;;;;;;;;;;;;;;;26;2753623.0;599;10297.0;não
254;2007-03-05;;;;;;;;;;;;;;;19;1041871.0;639;6614.0;não
255;2007-03-12;;;;;;;;;;;;;;;12;424419.0;395;1424.0;não
256;2007-03-19;;;;;;;;;;;;;;;7792;3267.0;68348;8.0;não
257;2007-03-26;;;;;;;;;;;;;;;5;4309032.0;140;32852.0;não
258;2007-04-02;;;;;;;;;;;;;;;0;0.0;4;1080266.0;sim
259;2007-04-09;;;;;;;;;;;;;;;135;31666.0;2278;2116.0;não
260;2007-04-16;;;;;;;;;;;;;;;1;43568448.0;26;15387.0;não
261;2007-04-23;;;;;;;;;;;;;;;1;14662907.0;2;1571026.0;não
262;2007-05-02;;;;;;;;;;;;;;;0;0.0;33;75502.0;sim
263;2007-05-07;;;;;;;;;;;;;;;0;0.0;6;564917.0;sim
264;2007-05-14;;;;;;;;;;;;;;;4;12296623.0;65;71259.0;não
265;2007-05-21;;;;;;;;;;;;;;;1;39174317.0;46;100117.0;não
266;2007-05-28;;;;;;;;;;;;;;;0;0.0;4;1030097.0;sim
267;2007-06-04;;;;;;;;;;;;;;;0;0.0;5;1025314.0;sim
268;2007-06-11;;;;;;;;;;;;;;;0;0.0;14;453723.0;sim
269;2007-06-18;;;;;;;;;;;;;;;0;0.0;24;372622.0;sim
270;2007-06-25;;;;;;;;;;;;;;;0;0.0;9;1269438.0;sim
271;2007-07-02;;;;;;;;;;;;;;;11;23523107.0;306;43086.0;não
272;2007-07-09;;;;;;;;;;;;;;;1;24865645.0;39;136624.0;não
273;2007-07-16;;;;;;;;;;;;;;;3;7081623.0;92;49295.0;não
274;2007-07-23;;;;;;;;;;;;;;;0;0.0;18;264349.0;sim
275;2007-07-30;;;;;;;;;;;;;;;0;0.0;2;3681463.0;sim
276;2007-08-06;;;;;;;;;;;;;;;50;281522.0;1114;8604.0;não
277;2007-08-13;;;;;;;;;;;;;;;4;6469408.0;77;71743.0;não
278;2007-08-20;;;;;;;;;;;;;;;6;4937591.0;194;32599.0;não
279;2007-08-27;;;;;;;;;;;;;;;79;305927.0;1598;3229.0;não
